Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PUT Posts,,,,12-02-2024 15:28:04,12-02-2024 15:28:15,10.533s,PASSED
,,,,,,,
Test Cases/PUT Posts Id1,,,,12-02-2024 15:28:05,12-02-2024 15:28:12,6.853s,PASSED
"sendRequestAndVerify(findTestObject(""GET Posts Id1""))",,,,12-02-2024 15:28:05,12-02-2024 15:28:10,4.217s,PASSED
Video,,,,12-02-2024 15:28:12,12-02-2024 15:28:12,0.002s,PASSED
,,,,,,,
Test Cases/PUT Posts Id2,,,,12-02-2024 15:28:12,12-02-2024 15:28:15,3.371s,PASSED
"sendRequestAndVerify(findTestObject(""PUT Posts Id2"", [""id"":2, ""title"":""foo"", ""body"":""bar"", ""userId"":2]))",,,,12-02-2024 15:28:12,12-02-2024 15:28:13,1.212s,PASSED
Video,,,,12-02-2024 15:28:15,12-02-2024 15:28:15,0.002s,PASSED
