Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AbmbilData Posts,,,,12-02-2024 15:42:01,12-02-2024 15:42:15,14.186s,PASSED
,,,,,,,
Test Cases/GET Posts Comments,,,,12-02-2024 15:42:01,12-02-2024 15:42:07,6.220s,PASSED
"sendRequestAndVerify(findTestObject(""GET Posts Comments""))",,,,12-02-2024 15:42:02,12-02-2024 15:42:05,3.583s,PASSED
Video,,,,12-02-2024 15:42:07,12-02-2024 15:42:07,0.001s,PASSED
,,,,,,,
Test Cases/GET Posts Id,,,,12-02-2024 15:42:07,12-02-2024 15:42:10,2.767s,PASSED
"response = sendRequestAndVerify(findTestObject(""GET Posts Id""))",,,,12-02-2024 15:42:07,12-02-2024 15:42:08,0.552s,PASSED
"verifyElementPropertyValue(response, ""title"", ""sunt aut facere repellat provident occaecati excepturi optio reprehenderit"")",,,,12-02-2024 15:42:08,12-02-2024 15:42:08,0.087s,PASSED
Video,,,,12-02-2024 15:42:10,12-02-2024 15:42:10,0.001s,PASSED
,,,,,,,
Test Cases/GET Posts Id1,,,,12-02-2024 15:42:10,12-02-2024 15:42:12,2.394s,PASSED
"sendRequestAndVerify(findTestObject(""GET Posts Id1""))",,,,12-02-2024 15:42:10,12-02-2024 15:42:10,0.288s,PASSED
Video,,,,12-02-2024 15:42:12,12-02-2024 15:42:12,0.002s,PASSED
,,,,,,,
Test Cases/GET Posts,,,,12-02-2024 15:42:12,12-02-2024 15:42:15,2.532s,PASSED
"response = sendRequestAndVerify(findTestObject(""GET Posts""))",,,,12-02-2024 15:42:12,12-02-2024 15:42:13,0.335s,PASSED
"verifyElementPropertyValue(response, ""[0].title"", ""sunt aut facere repellat provident occaecati excepturi optio reprehenderit"")",,,,12-02-2024 15:42:13,12-02-2024 15:42:13,0.068s,PASSED
Video,,,,12-02-2024 15:42:15,12-02-2024 15:42:15,0.001s,PASSED
